Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1.0,Exit long,2025-02-18 10:20,VA_LX,6135.75,1.0,306987.5,-205.0,-0.07,97.5,0.03,-202.5,-0.07,-205.0,-0.2
1.0,Entry long,2025-02-18 09:55,VA_L,6139.75,1.0,306987.5,-205.0,-0.07,97.5,0.03,-202.5,-0.07,-205.0,-0.2
2.0,Exit short,2025-02-18 14:50,IB_SX,6136.25,1.0,306087.5,-730.0,-0.24,172.5,0.06,-727.5,-0.24,-935.0,-0.93
2.0,Entry short,2025-02-18 13:10,IB_S,6121.75,1.0,306087.5,-730.0,-0.24,172.5,0.06,-727.5,-0.24,-935.0,-0.93
3.0,Exit short,2025-02-19 09:55,VA_SX,6134.75,1.0,306925.0,182.5,0.06,185.0,0.06,-27.5,-0.01,-752.5,-0.75
3.0,Entry short,2025-02-19 09:50,VA_S,6138.5,1.0,306925.0,182.5,0.06,185.0,0.06,-27.5,-0.01,-752.5,-0.75
4.0,Exit short,2025-02-21 12:30,IB_SX,6050.25,1.0,304387.5,1870.0,0.61,1872.5,0.62,-877.5,-0.29,1117.5,1.12
4.0,Entry short,2025-02-21 09:45,IB_S,6087.75,1.0,304387.5,1870.0,0.61,1872.5,0.62,-877.5,-0.29,1117.5,1.12
5.0,Exit long,2025-02-24 12:55,VA_LX,6034.0,1.0,302162.5,-467.5,-0.15,260.0,0.09,-465.0,-0.15,650.0,0.65
5.0,Entry long,2025-02-24 11:20,VA_L,6043.25,1.0,302162.5,-467.5,-0.15,260.0,0.09,-465.0,-0.15,650.0,0.65
6.0,Exit short,2025-02-26 12:25,VA_SX,5965.75,1.0,299050.0,757.5,0.25,760.0,0.25,-227.5,-0.08,1407.5,1.41
6.0,Entry short,2025-02-26 12:05,VA_S,5981.0,1.0,299050.0,757.5,0.25,760.0,0.25,-227.5,-0.08,1407.5,1.41
7.0,Exit long,2025-02-26 13:20,VA_LX,5966.0,1.0,297625.0,670.0,0.23,672.5,0.23,-352.5,-0.12,2077.5,2.08
7.0,Entry long,2025-02-26 13:05,VA_L,5952.5,1.0,297625.0,670.0,0.23,672.5,0.23,-352.5,-0.12,2077.5,2.08
8.0,Exit long,2025-02-27 10:50,VA_LX,5958.5,1.0,298400.0,-480.0,-0.16,410.0,0.14,-477.5,-0.16,1597.5,1.6
8.0,Entry long,2025-02-27 10:30,VA_L,5968.0,1.0,298400.0,-480.0,-0.16,410.0,0.14,-477.5,-0.16,1597.5,1.6
9.0,Exit short,2025-02-27 15:00,RTH End,5878.0,1.0,295975.0,2070.0,0.7000000000000001,2322.5,0.78,-327.5,-0.11,3667.5,3.67
9.0,Entry short,2025-02-27 13:35,IB_S,5919.5,1.0,295975.0,2070.0,0.7000000000000001,2322.5,0.78,-327.5,-0.11,3667.5,3.67
10.0,Exit long,2025-02-28 10:15,IB_LX,5892.25,1.0,295637.5,-1030.0,-0.35000000000000003,72.5,0.02,-1027.5,-0.35000000000000003,2637.5,2.64
10.0,Entry long,2025-02-28 10:00,IB_L,5912.75,1.0,295637.5,-1030.0,-0.35000000000000003,72.5,0.02,-1027.5,-0.35000000000000003,2637.5,2.64
11.0,Exit short,2025-02-28 12:25,IB_SX,5870.5,1.0,292500.0,-1030.0,-0.35000000000000003,97.5,0.03,-1027.5,-0.35000000000000003,1607.5,1.61
11.0,Entry short,2025-02-28 12:20,IB_S,5850.0,1.0,292500.0,-1030.0,-0.35000000000000003,97.5,0.03,-1027.5,-0.35000000000000003,1607.5,1.61
12.0,Exit short,2025-03-03 14:10,IB_SX,5856.5,1.0,296125.0,3295.0,1.11,3297.5,1.11,-352.5,-0.12,4902.5,4.9
12.0,Entry short,2025-03-03 12:10,IB_S,5922.5,1.0,296125.0,3295.0,1.11,3297.5,1.11,-352.5,-0.12,4902.5,4.9
13.0,Exit short,2025-03-05 11:00,IB_SX,5789.25,1.0,288437.5,-1030.0,-0.36,897.5,0.31,-1027.5,-0.36,3872.5,3.87
13.0,Entry short,2025-03-05 10:15,IB_S,5768.75,1.0,288437.5,-1030.0,-0.36,897.5,0.31,-1027.5,-0.36,3872.5,3.87
14.0,Exit long,2025-03-05 12:05,IB_LX,5800.75,1.0,291075.0,-1042.5,-0.36,522.5,0.18,-1040.0,-0.36,2830.0,2.83
14.0,Entry long,2025-03-05 11:55,IB_L,5821.5,1.0,291075.0,-1042.5,-0.36,522.5,0.18,-1040.0,-0.36,2830.0,2.83
15.0,Exit long,2025-03-06 09:55,IB_LX,5795.0,1.0,290762.5,-1017.5,-0.35000000000000003,235.0,0.08,-1015.0,-0.35000000000000003,1812.5,1.81
15.0,Entry long,2025-03-06 09:40,IB_L,5815.25,1.0,290762.5,-1017.5,-0.35000000000000003,235.0,0.08,-1015.0,-0.35000000000000003,1812.5,1.81
16.0,Exit short,2025-03-06 15:00,RTH End,5748.25,1.0,287562.5,145.0,0.05,1560.0,0.54,-865.0,-0.3,1957.5,1.96
16.0,Entry short,2025-03-06 11:05,IB_S,5751.25,1.0,287562.5,145.0,0.05,1560.0,0.54,-865.0,-0.3,1957.5,1.96
17.0,Exit long,2025-03-07 09:50,VA_LX,5726.5,1.0,286775.0,-455.0,-0.16,147.5,0.05,-452.5,-0.16,1502.5,1.5
17.0,Entry long,2025-03-07 09:50,VA_L,5735.5,1.0,286775.0,-455.0,-0.16,147.5,0.05,-452.5,-0.16,1502.5,1.5
