setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
VA,LONG,2025-02-18 10:50:00-05:00,6139.75,2025-02-18 11:20:00-05:00,6136.08,stop,6136.08,6141.84,-3.67,-188.67
IB,SHORT,2025-02-18 14:05:00-05:00,6121.75,2025-02-18 15:50:00-05:00,6136.0,stop,6136.0,6105.0,-14.25,-717.5
VA,SHORT,2025-02-19 10:45:00-05:00,6138.5,2025-02-19 10:55:00-05:00,6134.97,target,6141.3,6134.97,3.53,171.69
VA,LONG,2025-02-24 13:10:00-05:00,6039.5,2025-02-24 13:55:00-05:00,6035.07,stop,6035.07,6069.67,-4.43,-226.52
VA,SHORT,2025-02-26 13:00:00-05:00,5981.0,2025-02-26 13:25:00-05:00,5965.76,target,5986.9,5965.76,15.24,757.15
IB,SHORT,2025-02-26 13:25:00-05:00,5966.25,2025-02-26 15:55:00-05:00,5972.0,flatten,5986.5,5924.25,-5.75,-292.5
VA,LONG,2025-02-27 11:25:00-05:00,5968.25,2025-02-27 11:50:00-05:00,5958.91,stop,5958.91,5988.15,-9.34,-471.85
IB,SHORT,2025-02-27 14:30:00-05:00,5919.25,2025-02-27 15:55:00-05:00,5877.5,flatten,5939.5,5843.75,41.75,2082.5
IB,SHORT,2025-03-03 13:05:00-05:00,5922.75,2025-03-03 15:10:00-05:00,5856.5,target,5943.0,5856.5,66.25,3307.5
IB,SHORT,2025-03-05 11:10:00-05:00,5768.75,2025-03-05 12:00:00-05:00,5789.0,stop,5789.0,5722.25,-20.25,-1017.5
IB,LONG,2025-03-06 10:35:00-05:00,5815.5,2025-03-06 10:55:00-05:00,5795.25,stop,5795.25,5868.5,-20.25,-1017.5
IB,SHORT,2025-03-11 10:35:00-04:00,5562.0,2025-03-11 10:50:00-04:00,5582.25,stop,5582.25,5497.5,-20.25,-1017.5
IB,LONG,2025-03-11 14:50:00-04:00,5636.5,2025-03-11 15:00:00-04:00,5616.25,stop,5616.25,5701.0,-20.25,-1017.5
VA,LONG,2025-03-12 11:15:00-04:00,5570.5,2025-03-12 11:35:00-04:00,5590.32,target,5558.89,5590.32,19.82,985.9
VA,SHORT,2025-03-12 13:05:00-04:00,5613.5,2025-03-12 13:20:00-04:00,5621.41,stop,5621.41,5590.32,-7.91,-400.75
IB,SHORT,2025-03-13 11:25:00-04:00,5555.25,2025-03-13 15:55:00-04:00,5528.25,flatten,5575.5,5508.5,27.0,1345.0
IB,LONG,2025-03-17 13:35:00-04:00,5729.75,2025-03-17 15:55:00-04:00,5732.75,flatten,5709.5,5770.5,3.0,145.0
IB,SHORT,2025-03-18 14:10:00-04:00,5658.25,2025-03-18 14:50:00-04:00,5678.5,stop,5678.5,5609.0,-20.25,-1017.5
IB,LONG,2025-03-19 11:45:00-04:00,5714.75,2025-03-19 13:15:00-04:00,5694.75,stop,5694.75,5752.5,-20.0,-1005.0
IB,LONG,2025-03-19 14:30:00-04:00,5719.75,2025-03-19 15:05:00-04:00,5757.5,target,5699.5,5757.5,37.75,1882.5
IB,LONG,2025-03-20 10:40:00-04:00,5762.5,2025-03-20 11:30:00-04:00,5742.25,stop,5742.25,5837.75,-20.25,-1017.5
VA,LONG,2025-03-20 14:45:00-04:00,5706.75,2025-03-20 15:20:00-04:00,5719.01,target,5697.76,5719.01,12.26,607.79
IB,LONG,2025-03-24 14:50:00-04:00,5810.75,2025-03-24 15:55:00-04:00,5813.5,flatten,5792.0,5842.5,2.75,132.5
IB,LONG,2025-03-25 10:35:00-04:00,5833.5,2025-03-25 11:50:00-04:00,5821.62,stop,5821.62,5852.0,-11.88,-598.75
IB,SHORT,2025-03-25 14:45:00-04:00,5811.25,2025-03-25 15:40:00-04:00,5821.62,stop,5821.62,5792.75,-10.38,-523.75
IB,SHORT,2025-03-26 11:25:00-04:00,5794.5,2025-03-26 13:30:00-04:00,5757.25,target,5814.75,5757.25,37.25,1857.5
VA,LONG,2025-03-27 14:10:00-04:00,5755.75,2025-03-27 14:15:00-04:00,5751.16,stop,5751.16,5781.47,-4.59,-234.64
IB,LONG,2025-03-31 10:45:00-04:00,5581.75,2025-03-31 14:10:00-04:00,5629.0,target,5561.5,5629.0,47.25,2357.5
IB,LONG,2025-04-01 10:50:00-04:00,5656.75,2025-04-01 14:10:00-04:00,5636.5,stop,5636.5,5706.25,-20.25,-1017.5
VA,SHORT,2025-04-01 14:10:00-04:00,5641.0,2025-04-01 15:05:00-04:00,5646.07,stop,5646.07,5607.23,-5.07,-258.72
VA,SHORT,2025-04-02 10:40:00-04:00,5671.75,2025-04-02 10:55:00-04:00,5680.24,stop,5680.24,5653.52,-8.49,-429.28
IB,SHORT,2025-04-03 10:45:00-04:00,5468.25,2025-04-03 11:30:00-04:00,5488.5,stop,5488.5,5403.5,-20.25,-1017.5
IB,SHORT,2025-04-03 14:10:00-04:00,5467.25,2025-04-03 15:55:00-04:00,5436.0,flatten,5487.5,5402.5,31.25,1557.5
IB,SHORT,2025-04-08 11:05:00-04:00,5230.5,2025-04-08 12:35:00-04:00,5156.5,target,5250.75,5156.5,74.0,3695.0
VA,SHORT,2025-04-08 13:05:00-04:00,5100.25,2025-04-08 13:40:00-04:00,5126.73,stop,5126.73,5059.65,-26.48,-1329.17
IB,SHORT,2025-04-10 11:15:00-04:00,5308.5,2025-04-10 11:55:00-04:00,5235.5,target,5328.75,5235.5,73.0,3645.0
IB,SHORT,2025-04-14 11:25:00-04:00,5438.25,2025-04-14 14:30:00-04:00,5458.5,stop,5458.5,5386.25,-20.25,-1017.5
IB,SHORT,2025-04-15 13:20:00-04:00,5432.25,2025-04-15 15:55:00-04:00,5427.75,flatten,5452.5,5380.5,4.5,220.0
IB,LONG,2025-04-16 11:20:00-04:00,5394.5,2025-04-16 11:50:00-04:00,5374.25,stop,5374.25,5437.0,-20.25,-1017.5
IB,SHORT,2025-04-16 13:30:00-04:00,5333.5,2025-04-16 13:55:00-04:00,5291.0,target,5353.75,5291.0,42.5,2120.0
IB,SHORT,2025-04-17 10:55:00-04:00,5297.0,2025-04-17 11:05:00-04:00,5317.25,stop,5317.25,5254.75,-20.25,-1017.5
IB,LONG,2025-04-17 13:50:00-04:00,5345.75,2025-04-17 15:10:00-04:00,5325.5,stop,5325.5,5388.0,-20.25,-1017.5
IB,SHORT,2025-04-23 11:25:00-04:00,5432.25,2025-04-23 15:55:00-04:00,5398.25,flatten,5452.5,5373.5,34.0,1695.0
VA,SHORT,2025-04-24 10:40:00-04:00,5465.75,2025-04-24 11:10:00-04:00,5478.69,stop,5478.69,5439.35,-12.94,-651.98
IB,SHORT,2025-04-28 11:05:00-04:00,5537.25,2025-04-28 13:10:00-04:00,5498.0,target,5557.5,5498.0,39.25,1957.5
IB,LONG,2025-04-29 10:55:00-04:00,5572.75,2025-04-29 11:35:00-04:00,5552.5,stop,5552.5,5615.25,-20.25,-1017.5
