setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
IB,SHORT,2024-02-20 11:55:00-05:00,4981.5,2024-02-20 12:35:00-05:00,4978.21,trail,4996.12,4969.55,3.29,159.33
TX,SHORT,2024-02-21 14:15:00-05:00,4975.5,2024-02-21 14:25:00-05:00,4966.59,target,4990.68,4966.59,8.91,440.69
IB,SHORT,2024-02-21 14:25:00-05:00,4970.75,2024-02-21 15:20:00-05:00,4959.25,target,4978.88,4959.25,11.5,570.0
IB,SHORT,2024-02-26 10:45:00-05:00,5096.5,2024-02-26 11:30:00-05:00,5094.25,tema_exit,5102.88,5086.65,2.25,107.5
IB,SHORT,2024-02-26 13:00:00-05:00,5092.75,2024-02-26 13:10:00-05:00,5095.75,tema_exit,5102.88,5083.0,-3.0,-155.0
IB,SHORT,2024-02-26 13:15:00-05:00,5091.75,2024-02-26 13:35:00-05:00,5082.0,target,5102.88,5082.0,9.75,482.5
TX,SHORT,2024-02-27 10:40:00-05:00,5076.5,2024-02-27 10:45:00-05:00,5080.75,tema_exit,5091.98,5069.99,-4.25,-217.5
TX,SHORT,2024-02-27 11:25:00-05:00,5076.0,2024-02-27 11:30:00-05:00,5078.5,tema_exit,5091.48,5069.38,-2.5,-130.0
TX,SHORT,2024-02-28 14:05:00-05:00,5080.5,2024-02-28 14:10:00-05:00,5075.1,target,5095.99,5075.1,5.4,265.23
IB,SHORT,2024-02-29 11:30:00-05:00,5084.0,2024-02-29 11:35:00-05:00,5084.92,trail,5095.0,5070.42,-0.92,-50.92
IB,SHORT,2024-02-29 11:35:00-05:00,5074.75,2024-02-29 11:55:00-05:00,5083.5,tema_exit,5090.23,5059.64,-8.75,-442.5
IB,SHORT,2024-03-05 10:35:00-05:00,5091.75,2024-03-05 10:55:00-05:00,5095.25,tema_exit,5107.28,5077.13,-3.5,-180.0
IB,SHORT,2024-03-05 11:50:00-05:00,5085.0,2024-03-05 11:55:00-05:00,5090.75,tema_exit,5100.51,5070.52,-5.75,-292.5
IB,SHORT,2024-03-05 13:40:00-05:00,5083.5,2024-03-05 14:20:00-05:00,5084.25,tema_exit,5099.0,5069.74,-0.75,-42.5
