setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
MS_ONL,LONG,2024-02-16 14:45:00-05:00,5030.75,2024-02-16 14:50:00-05:00,5026.0,stop,5026.0,5043.5,-4.75,-242.5
OS_GAP_UP,SHORT,2024-02-19 09:30:00-05:00,5026.0,2024-02-19 18:00:00-05:00,5024.0,flatten,5034.5,5020.5,2.0,95.0
MS_ONL,LONG,2024-02-20 11:20:00-05:00,4993.5,2024-02-20 11:30:00-05:00,4990.25,stop,4990.25,5009.25,-3.25,-167.5
OS_GAP_DN,LONG,2024-02-21 09:30:00-05:00,4976.75,2024-02-21 13:00:00-05:00,4968.0,stop,4968.0,4990.5,-8.75,-442.5
OS_GAP_UP,SHORT,2024-02-23 09:30:00-05:00,5119.25,2024-02-23 11:00:00-05:00,5097.5,target,5125.5,5097.5,21.75,1082.5
OS_GAP_UP,SHORT,2024-02-26 09:30:00-05:00,5106.25,2024-02-26 09:45:00-05:00,5099.75,target,5112.5,5099.75,6.5,320.0
MS_ONL,LONG,2024-02-26 14:50:00-05:00,5089.25,2024-02-26 15:50:00-05:00,5083.25,stop,5083.25,5098.5,-6.0,-305.0
MS_pVAH,SHORT,2024-02-28 13:30:00-05:00,5085.5,2024-02-28 14:10:00-05:00,5077.5,target,5090.0,5077.5,8.0,395.0
OS_GAP_UP,SHORT,2024-02-29 09:30:00-05:00,5104.0,2024-02-29 11:30:00-05:00,5084.0,target,5110.5,5084.0,20.0,995.0
MS_pVAH,SHORT,2024-02-29 11:35:00-05:00,5074.75,2024-02-29 12:20:00-05:00,5088.0,stop,5088.0,5060.0,-13.25,-667.5
OS_GAP_UP,SHORT,2024-03-01 09:30:00-05:00,5110.0,2024-03-01 09:40:00-05:00,5104.0,target,5121.25,5104.0,6.0,295.0
MS_ONL,LONG,2024-03-08 15:05:00-05:00,5144.5,2024-03-08 15:10:00-05:00,5137.5,stop,5137.5,5157.5,-7.0,-355.0
MS_pVAH,SHORT,2024-03-11 14:50:00-04:00,5188.5,2024-03-11 15:55:00-04:00,5185.75,flatten,5198.0,5176.5,2.75,132.5
MS_ONH,SHORT,2024-03-12 12:30:00-04:00,5223.25,2024-03-12 12:45:00-04:00,5208.0,target,5225.0,5208.0,15.25,757.5
MS_ONH,SHORT,2024-03-18 12:00:00-04:00,5223.5,2024-03-18 15:55:00-04:00,5215.25,flatten,5230.75,5181.75,8.25,407.5
OS_GAP_DN,LONG,2024-03-19 09:30:00-04:00,5202.25,2024-03-19 11:30:00-04:00,5215.25,target,5181.0,5215.25,13.0,645.0
MS_ONL,LONG,2024-03-22 12:00:00-04:00,5295.25,2024-03-22 13:45:00-04:00,5303.0,target,5288.25,5303.0,7.75,382.5
OS_GAP_DN,LONG,2024-03-25 09:30:00-04:00,5281.25,2024-03-25 15:55:00-04:00,5277.0,flatten,5267.5,5292.0,-4.25,-217.5
MS_ONL,LONG,2024-04-02 11:25:00-04:00,5247.25,2024-04-02 11:35:00-04:00,5245.25,stop,5245.25,5255.25,-2.0,-105.0
OS_GAP_DN,LONG,2024-04-03 09:30:00-04:00,5253.0,2024-04-03 10:00:00-04:00,5261.0,target,5239.5,5261.0,8.0,395.0
MS_ONH,SHORT,2024-04-03 15:10:00-04:00,5257.75,2024-04-03 15:45:00-04:00,5266.75,stop,5266.75,5247.5,-9.0,-455.0
OS_GAP_UP,SHORT,2024-04-05 09:30:00-04:00,5214.5,2024-04-05 09:50:00-04:00,5229.5,stop,5229.5,5197.5,-15.0,-755.0
MS_pVAH,SHORT,2024-04-08 10:30:00-04:00,5264.5,2024-04-08 12:10:00-04:00,5248.5,target,5273.0,5248.5,16.0,795.0
OS_GAP_UP,SHORT,2024-04-09 09:30:00-04:00,5267.5,2024-04-09 09:45:00-04:00,5262.0,target,5279.25,5262.0,5.5,270.0
MS_ONL,LONG,2024-04-09 12:30:00-04:00,5243.75,2024-04-09 12:35:00-04:00,5242.0,stop,5242.0,5260.5,-1.75,-92.5
MS_ONL,LONG,2024-04-12 12:00:00-04:00,5191.75,2024-04-12 12:10:00-04:00,5190.25,stop,5190.25,5200.5,-1.5,-80.0
MS_ONL,LONG,2024-04-15 12:20:00-04:00,5166.25,2024-04-15 12:30:00-04:00,5160.25,stop,5160.25,5174.5,-6.0,-305.0
MS_ONH,SHORT,2024-04-16 14:05:00-04:00,5120.25,2024-04-16 14:10:00-04:00,5108.5,target,5124.25,5108.5,11.75,582.5
MS_ONL,LONG,2024-04-17 13:25:00-04:00,5074.25,2024-04-17 13:30:00-04:00,5071.75,stop,5071.75,5094.5,-2.5,-130.0
