setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
OS_GAP_UP,SHORT,2024-02-19 09:30:00-05:00,5026.0,2024-02-19 18:00:00-05:00,5024.0,flatten,5034.5,5020.5,2.0,95.0
OS_GAP_UP,SHORT,2024-02-23 09:30:00-05:00,5119.25,2024-02-23 11:00:00-05:00,5097.5,target,5125.5,5097.5,21.75,1082.5
OS_GAP_UP,SHORT,2024-02-26 09:30:00-05:00,5106.25,2024-02-26 09:45:00-05:00,5099.75,target,5112.5,5099.75,6.5,320.0
MS_pVAH,SHORT,2024-02-28 13:30:00-05:00,5085.5,2024-02-28 14:10:00-05:00,5077.5,target,5090.0,5077.5,8.0,395.0
OS_GAP_UP,SHORT,2024-02-29 09:30:00-05:00,5104.0,2024-02-29 11:30:00-05:00,5084.0,target,5110.5,5084.0,20.0,995.0
MS_pVAH,SHORT,2024-02-29 11:35:00-05:00,5074.75,2024-02-29 12:20:00-05:00,5088.0,stop,5088.0,5060.0,-13.25,-667.5
OS_GAP_UP,SHORT,2024-03-01 09:30:00-05:00,5110.0,2024-03-01 09:40:00-05:00,5104.0,target,5121.25,5104.0,6.0,295.0
MS_pVAH,SHORT,2024-03-11 14:50:00-04:00,5188.5,2024-03-11 15:55:00-04:00,5185.75,flatten,5198.0,5176.5,2.75,132.5
MS_ONH,SHORT,2024-03-12 12:30:00-04:00,5223.25,2024-03-12 12:45:00-04:00,5208.0,target,5225.0,5208.0,15.25,757.5
MS_ONH,SHORT,2024-03-18 12:00:00-04:00,5223.5,2024-03-18 15:55:00-04:00,5215.25,flatten,5230.75,5181.75,8.25,407.5
MS_ONH,SHORT,2024-04-03 15:10:00-04:00,5257.75,2024-04-03 15:45:00-04:00,5266.75,stop,5266.75,5247.5,-9.0,-455.0
OS_GAP_UP,SHORT,2024-04-05 09:30:00-04:00,5214.5,2024-04-05 09:50:00-04:00,5229.5,stop,5229.5,5197.5,-15.0,-755.0
MS_pVAH,SHORT,2024-04-08 10:30:00-04:00,5264.5,2024-04-08 12:10:00-04:00,5248.5,target,5273.0,5248.5,16.0,795.0
OS_GAP_UP,SHORT,2024-04-09 09:30:00-04:00,5267.5,2024-04-09 09:45:00-04:00,5262.0,target,5279.25,5262.0,5.5,270.0
MS_ONH,SHORT,2024-04-16 14:05:00-04:00,5120.25,2024-04-16 14:10:00-04:00,5108.5,target,5124.25,5108.5,11.75,582.5
MS_ONH,SHORT,2024-04-18 12:25:00-04:00,5079.75,2024-04-18 12:30:00-04:00,5069.5,target,5088.25,5069.5,10.25,507.5
MS_pVAH,SHORT,2024-04-24 10:40:00-04:00,5105.0,2024-04-24 11:05:00-04:00,5094.0,target,5116.0,5094.0,11.0,545.0
MS_ONH,SHORT,2024-04-25 15:00:00-04:00,5082.0,2024-04-25 15:15:00-04:00,5086.5,stop,5086.5,5036.5,-4.5,-230.0
MS_ONH,SHORT,2024-04-26 11:45:00-04:00,5136.5,2024-04-26 13:00:00-04:00,5144.25,stop,5144.25,5125.5,-7.75,-392.5
OS_GAP_UP,SHORT,2024-04-29 09:30:00-04:00,5153.25,2024-04-29 09:40:00-04:00,5143.0,target,5159.25,5143.0,10.25,507.5
MS_pVAH,SHORT,2024-05-02 15:50:00-04:00,5083.25,2024-05-02 15:55:00-04:00,5089.0,stop,5089.0,5061.5,-5.75,-292.5
MS_ONH,SHORT,2024-05-02 15:55:00-04:00,5091.5,2024-05-02 16:00:00-04:00,5094.0,stop,5094.0,5061.5,-2.5,-130.0
MS_ONH,SHORT,2024-05-03 15:30:00-04:00,5153.75,2024-05-03 15:55:00-04:00,5154.25,flatten,5161.0,5139.0,-0.5,-30.0
MS_ONH,SHORT,2024-05-06 11:25:00-04:00,5182.0,2024-05-06 11:35:00-04:00,5183.5,stop,5183.5,5174.0,-1.5,-80.0
OS_GAP_UP,SHORT,2024-05-07 09:30:00-04:00,5218.25,2024-05-07 13:20:00-04:00,5225.25,stop,5225.25,5207.0,-7.0,-355.0
MS_ONH,SHORT,2024-05-07 13:55:00-04:00,5210.75,2024-05-07 15:55:00-04:00,5212.25,flatten,5221.25,5202.25,-1.5,-80.0
OS_GAP_UP,SHORT,2024-05-10 09:30:00-04:00,5258.25,2024-05-10 10:50:00-04:00,5239.25,target,5265.75,5239.25,19.0,945.0
MS_pVAH,SHORT,2024-05-10 10:50:00-04:00,5238.0,2024-05-10 10:55:00-04:00,5243.0,stop,5243.0,5229.5,-5.0,-255.0
MS_pVAH,SHORT,2024-05-16 13:05:00-04:00,5340.5,2024-05-16 13:15:00-04:00,5342.0,stop,5342.0,5332.0,-1.5,-80.0
MS_ONH,SHORT,2024-05-16 13:15:00-04:00,5340.25,2024-05-16 13:20:00-04:00,5332.0,target,5347.25,5332.0,8.25,407.5
MS_ONH,SHORT,2024-05-17 10:30:00-04:00,5325.0,2024-05-17 11:00:00-04:00,5316.5,target,5330.0,5316.5,8.5,420.0
MS_ONH,SHORT,2024-05-20 12:20:00-04:00,5339.25,2024-05-20 12:30:00-04:00,5341.25,stop,5341.25,5327.75,-2.0,-105.0
OS_GAP_UP,SHORT,2024-05-24 09:30:00-04:00,5305.0,2024-05-24 10:20:00-04:00,5310.75,stop,5310.75,5292.0,-5.75,-292.5
OS_GAP_UP,SHORT,2024-06-03 09:30:00-04:00,5308.75,2024-06-03 09:55:00-04:00,5296.75,target,5318.25,5296.75,12.0,595.0
MS_pVAH,SHORT,2024-06-03 12:30:00-04:00,5254.75,2024-06-03 12:35:00-04:00,5258.0,stop,5258.0,5230.5,-3.25,-167.5
MS_pVAH,SHORT,2024-06-04 15:40:00-04:00,5302.75,2024-06-04 15:50:00-04:00,5306.0,stop,5306.0,5278.5,-3.25,-167.5
MS_ONH,SHORT,2024-06-04 15:50:00-04:00,5303.25,2024-06-04 15:55:00-04:00,5304.0,flatten,5307.5,5278.5,-0.75,-42.5
MS_ONH,SHORT,2024-06-10 13:40:00-04:00,5362.75,2024-06-10 13:45:00-04:00,5364.5,stop,5364.5,5354.0,-1.75,-92.5
OS_GAP_UP,SHORT,2024-06-19 09:30:00-04:00,5565.25,2024-06-19 10:30:00-04:00,5561.5,target,5572.0,5561.5,3.75,182.5
MS_pVAH,SHORT,2024-06-20 11:45:00-04:00,5558.0,2024-06-20 15:55:00-04:00,5545.25,flatten,5568.0,5492.75,12.75,632.5
MS_ONH,SHORT,2024-06-24 12:50:00-04:00,5542.25,2024-06-24 13:05:00-04:00,5533.5,target,5550.0,5533.5,8.75,432.5
OS_GAP_UP,SHORT,2024-06-25 09:30:00-04:00,5522.25,2024-06-25 12:45:00-04:00,5514.5,target,5535.75,5514.5,7.75,382.5
MS_pVAH,SHORT,2024-06-27 12:00:00-04:00,5538.25,2024-06-27 12:10:00-04:00,5541.0,stop,5541.0,5530.5,-2.75,-142.5
MS_pVAH,SHORT,2024-06-28 12:55:00-04:00,5543.75,2024-06-28 14:20:00-04:00,5535.0,target,5552.0,5535.0,8.75,432.5
OS_GAP_UP,SHORT,2024-07-01 09:30:00-04:00,5535.5,2024-07-01 09:50:00-04:00,5523.25,target,5546.0,5523.25,12.25,607.5
MS_pVAH,SHORT,2024-07-04 10:30:00-04:00,5586.0,2024-07-04 11:10:00-04:00,5590.0,stop,5590.0,5576.5,-4.0,-205.0
OS_GAP_UP,SHORT,2024-07-08 09:30:00-04:00,5633.75,2024-07-08 10:20:00-04:00,5627.0,target,5641.0,5627.0,6.75,332.5
MS_pVAH,SHORT,2024-07-08 10:40:00-04:00,5625.75,2024-07-08 12:10:00-04:00,5617.5,target,5631.0,5617.5,8.25,407.5
OS_GAP_UP,SHORT,2024-07-09 09:30:00-04:00,5639.25,2024-07-09 10:25:00-04:00,5630.0,target,5645.0,5630.0,9.25,457.5
MS_pVAH,SHORT,2024-07-11 10:40:00-04:00,5663.5,2024-07-11 11:25:00-04:00,5644.5,target,5676.0,5644.5,19.0,945.0
OS_GAP_UP,SHORT,2024-07-12 09:30:00-04:00,5645.25,2024-07-12 09:50:00-04:00,5654.75,stop,5654.75,5636.5,-9.5,-480.0
MS_ONH,SHORT,2024-07-15 12:10:00-04:00,5697.0,2024-07-15 12:20:00-04:00,5698.75,stop,5698.75,5683.25,-1.75,-92.5
MS_pVAH,SHORT,2024-07-15 12:30:00-04:00,5696.25,2024-07-15 12:35:00-04:00,5698.0,stop,5698.0,5688.0,-1.75,-92.5
OS_GAP_UP,SHORT,2024-07-16 09:30:00-04:00,5702.0,2024-07-16 10:05:00-04:00,5692.5,target,5707.75,5692.5,9.5,470.0
MS_pVAH,SHORT,2024-07-22 11:45:00-04:00,5575.5,2024-07-22 11:50:00-04:00,5579.0,stop,5579.0,5555.5,-3.5,-180.0
MS_ONH,SHORT,2024-07-25 14:05:00-04:00,5491.0,2024-07-25 14:10:00-04:00,5494.0,stop,5494.0,5458.5,-3.0,-155.0
MS_pVAH,SHORT,2024-07-26 13:50:00-04:00,5505.0,2024-07-26 14:00:00-04:00,5507.0,stop,5507.0,5484.5,-2.0,-105.0
MS_ONH,SHORT,2024-07-26 15:05:00-04:00,5493.5,2024-07-26 15:10:00-04:00,5496.75,stop,5496.75,5484.5,-3.25,-167.5
OS_GAP_UP,SHORT,2024-07-30 09:30:00-04:00,5517.75,2024-07-30 09:40:00-04:00,5526.25,stop,5526.25,5507.5,-8.5,-430.0
MS_ONH,SHORT,2024-07-31 13:30:00-04:00,5545.0,2024-07-31 13:45:00-04:00,5551.75,stop,5551.75,5528.75,-6.75,-342.5
MS_ONH,SHORT,2024-08-06 11:50:00-04:00,5299.0,2024-08-06 12:15:00-04:00,5309.5,stop,5309.5,5267.5,-10.5,-530.0
MS_pVAH,SHORT,2024-08-07 11:40:00-04:00,5324.25,2024-08-07 12:45:00-04:00,5299.5,target,5330.0,5299.5,24.75,1232.5
MS_pVAH,SHORT,2024-08-09 12:35:00-04:00,5349.75,2024-08-09 12:50:00-04:00,5353.0,stop,5353.0,5340.5,-3.25,-167.5
MS_ONH,SHORT,2024-08-09 15:15:00-04:00,5370.25,2024-08-09 15:55:00-04:00,5368.5,flatten,5376.0,5356.5,1.75,82.5
OS_GAP_UP,SHORT,2024-08-12 09:30:00-04:00,5381.75,2024-08-12 09:35:00-04:00,5371.0,target,5394.5,5371.0,10.75,532.5
MS_pVAH,SHORT,2024-08-12 11:45:00-04:00,5372.5,2024-08-12 11:50:00-04:00,5375.0,stop,5375.0,5360.5,-2.5,-130.0
OS_GAP_UP,SHORT,2024-08-14 09:30:00-04:00,5459.75,2024-08-14 10:10:00-04:00,5448.5,target,5478.75,5448.5,11.25,557.5
MS_pVAH,SHORT,2024-08-14 10:50:00-04:00,5458.75,2024-08-14 11:15:00-04:00,5466.0,stop,5466.0,5450.5,-7.25,-367.5
MS_ONH,SHORT,2024-08-14 13:05:00-04:00,5470.25,2024-08-14 14:55:00-04:00,5477.75,stop,5477.75,5455.5,-7.5,-380.0
MS_ONH,SHORT,2024-08-16 14:35:00-04:00,5578.75,2024-08-16 15:55:00-04:00,5578.25,flatten,5587.25,5564.5,0.5,20.0
MS_pVAH,SHORT,2024-08-20 10:35:00-04:00,5616.75,2024-08-20 11:55:00-04:00,5625.0,stop,5625.0,5600.5,-8.25,-417.5
MS_ONH,SHORT,2024-08-21 15:25:00-04:00,5634.75,2024-08-21 15:50:00-04:00,5637.75,stop,5637.75,5625.5,-3.0,-155.0
OS_GAP_UP,SHORT,2024-08-22 09:30:00-04:00,5662.25,2024-08-22 10:05:00-04:00,5644.0,target,5669.25,5644.0,18.25,907.5
