setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
IB,SHORT,2025-12-04 14:20:00-05:00,6841.5,2025-12-04 14:35:00-05:00,6860.62,stop,6860.62,6809.5,-19.12,-961.25
IB,SHORT,2025-12-08 10:55:00-05:00,6856.25,2025-12-08 15:55:00-05:00,6856.5,flatten,6872.12,6828.25,-0.25,-17.5
IB,LONG,2025-12-09 11:15:00-05:00,6872.25,2025-12-09 12:40:00-05:00,6857.88,stop,6857.88,6893.25,-14.38,-723.75
IB,LONG,2025-12-10 11:15:00-05:00,6854.5,2025-12-10 14:30:00-05:00,6876.0,target,6841.62,6876.0,21.5,1070.0
IB,LONG,2025-12-11 12:15:00-05:00,6886.25,2025-12-11 15:55:00-05:00,6908.0,flatten,6866.0,6932.75,21.75,1082.5
IB,SHORT,2025-12-12 10:55:00-05:00,6830.75,2025-12-12 13:10:00-05:00,6851.0,stop,6851.0,6778.0,-20.25,-1017.5
VA,LONG,2025-12-15 11:50:00-05:00,6828.25,2025-12-15 12:15:00-05:00,6818.17,stop,6818.17,6842.6,-10.08,-509.11
VA,SHORT,2025-12-16 13:35:00-05:00,6783.5,2025-12-16 13:40:00-05:00,6827.11,target,6869.8,6827.11,-43.61,-2185.42
VA,LONG,2025-12-17 11:40:00-05:00,6807.75,2025-12-17 11:45:00-05:00,6769.67,stop,6769.67,6828.32,-38.08,-1909.01
IB,SHORT,2025-12-18 12:20:00-05:00,6815.25,2025-12-18 12:35:00-05:00,6835.5,stop,6835.5,6780.75,-20.25,-1017.5
IB,LONG,2025-12-18 13:30:00-05:00,6856.5,2025-12-18 14:00:00-05:00,6837.88,stop,6837.88,6891.0,-18.62,-936.25
IB,LONG,2025-12-22 11:10:00-05:00,6929.0,2025-12-22 15:55:00-05:00,6929.5,flatten,6919.38,6945.5,0.5,20.0
IB,LONG,2025-12-23 10:55:00-05:00,6945.0,2025-12-23 15:55:00-05:00,6960.5,flatten,6931.12,6969.5,15.5,770.0
IB,SHORT,2025-12-26 12:10:00-05:00,6971.0,2025-12-26 15:55:00-05:00,6980.0,flatten,6983.5,6950.25,-9.0,-455.0
IB,SHORT,2025-12-29 12:15:00-05:00,6942.75,2025-12-29 14:40:00-05:00,6955.62,stop,6955.62,6918.75,-12.88,-648.75
IB,SHORT,2025-12-31 14:30:00-05:00,6913.25,2025-12-31 15:55:00-05:00,6891.75,flatten,6933.5,6887.5,21.5,1070.0
IB,SHORT,2026-01-02 10:55:00-05:00,6883.75,2026-01-02 14:30:00-05:00,6904.0,stop,6904.0,6829.5,-20.25,-1017.5
VA,SHORT,2026-01-06 11:05:00-05:00,6951.75,2026-01-06 11:10:00-05:00,6956.85,stop,6956.85,6948.04,-5.1,-260.16
IB,LONG,2026-01-06 12:50:00-05:00,6977.75,2026-01-06 15:55:00-05:00,6989.25,flatten,6961.38,7009.25,11.5,570.0
IB,LONG,2026-01-07 11:40:00-05:00,6999.25,2026-01-07 13:25:00-05:00,6988.12,stop,6988.12,7019.25,-11.12,-561.25
IB,LONG,2026-01-08 12:40:00-05:00,6967.0,2026-01-08 14:10:00-05:00,6953.0,stop,6953.0,6992.75,-14.0,-705.0
IB,LONG,2026-01-09 11:10:00-05:00,6999.75,2026-01-09 15:55:00-05:00,7004.5,flatten,6979.5,7042.25,4.75,232.5
VA,LONG,2026-01-13 10:35:00-05:00,6994.75,2026-01-13 11:15:00-05:00,7005.33,target,6988.28,7005.33,10.58,523.88
IB,SHORT,2026-01-14 10:45:00-05:00,6928.25,2026-01-14 11:20:00-05:00,6948.5,stop,6948.5,6887.0,-20.25,-1017.5
IB,LONG,2026-01-15 11:00:00-05:00,7011.25,2026-01-15 12:55:00-05:00,7002.25,stop,7002.25,7026.5,-9.0,-455.0
IB,SHORT,2026-01-15 14:30:00-05:00,6994.0,2026-01-15 15:15:00-05:00,6978.75,target,7002.25,6978.75,15.25,757.5
VA,LONG,2026-01-16 13:15:00-05:00,6990.0,2026-01-16 13:45:00-05:00,6987.36,stop,6987.36,6999.61,-2.64,-136.95
IB,SHORT,2026-01-20 12:45:00-05:00,6863.75,2026-01-20 14:30:00-05:00,6832.75,target,6881.38,6832.75,31.0,1545.0
VA,SHORT,2026-01-21 11:35:00-05:00,6875.0,2026-01-21 11:50:00-05:00,6864.87,target,6895.2,6864.87,10.13,501.73
IB,SHORT,2026-01-21 12:10:00-05:00,6839.75,2026-01-21 12:50:00-05:00,6860.0,stop,6860.0,6794.5,-20.25,-1017.5
IB,LONG,2026-01-21 14:25:00-05:00,6901.5,2026-01-21 15:55:00-05:00,6911.0,flatten,6881.25,6946.75,9.5,470.0
IB,LONG,2026-01-23 10:45:00-05:00,6957.5,2026-01-23 12:45:00-05:00,6938.75,stop,6938.75,6984.75,-18.75,-942.5
VA,LONG,2026-01-23 13:05:00-05:00,6942.25,2026-01-23 14:00:00-05:00,6948.74,target,6933.78,6948.74,6.49,319.69
IB,LONG,2026-01-23 14:20:00-05:00,6954.75,2026-01-23 15:55:00-05:00,6945.5,flatten,6938.75,6982.0,-9.25,-467.5
IB,LONG,2026-01-27 10:35:00-05:00,7008.75,2026-01-27 15:55:00-05:00,7008.75,flatten,6998.0,7028.0,0.0,-5.0
IB,SHORT,2026-01-28 10:40:00-05:00,7010.0,2026-01-28 14:30:00-05:00,6991.75,target,7021.75,6991.75,18.25,907.5
IB,LONG,2026-02-02 13:50:00-05:00,7013.25,2026-02-02 15:55:00-05:00,7003.0,flatten,6993.0,7041.75,-10.25,-517.5
VA,LONG,2026-02-04 11:15:00-05:00,6913.5,2026-02-04 11:40:00-05:00,6904.57,stop,6904.57,6944.71,-8.93,-451.56
IB,SHORT,2026-02-04 11:40:00-05:00,6899.25,2026-02-04 14:45:00-05:00,6919.5,stop,6919.5,6849.25,-20.25,-1017.5
IB,SHORT,2026-02-10 13:30:00-05:00,6973.0,2026-02-10 15:55:00-05:00,6961.25,flatten,6990.0,6943.25,11.75,582.5
VA,LONG,2026-02-11 12:25:00-05:00,6976.0,2026-02-11 12:55:00-05:00,6969.0,stop,6969.0,6983.78,-7.0,-355.22
IB,LONG,2026-02-13 11:00:00-05:00,6869.5,2026-02-13 15:25:00-05:00,6849.25,stop,6849.25,6929.5,-20.25,-1017.5
