trade,equity,drawdown,date,drawdown_pct,pnl,setup
0,100000.0,0.0,,,,
1,99445.0,555.0,2024-02-20,0.56,-555.0,IB
2,98971.25,1028.75,2024-02-21,1.03,-473.75,IB
3,99466.25,533.75,2024-02-26,0.53,495.0,IB
4,98911.25,1088.75,2024-02-29,1.09,-555.0,IB
5,98125.79,1874.21,2024-03-11,1.87,-785.46,IB
6,98008.29,1991.71,2024-03-12,1.99,-117.5,REJ
7,97878.29,2121.71,2024-03-12,2.12,-130.0,REJ
8,97080.64,2919.36,2024-03-14,2.92,-797.65,IB
9,96731.89,3268.11,2024-03-20,3.27,-348.75,IB
10,96914.39,3085.61,2024-03-21,3.09,182.5,IB
11,97396.89,2603.11,2024-03-26,2.6,482.5,IB
12,96823.14,3176.86,2024-03-27,3.18,-573.75,IB
13,96918.14,3081.86,2024-04-01,3.08,95.0,IB
14,97600.64,2399.36,2024-04-03,2.4,682.5,REJ
15,97239.39,2760.61,2024-04-04,2.76,-361.25,IB
16,97859.39,2140.61,2024-04-04,2.14,620.0,IB
17,97064.06,2935.94,2024-04-10,2.94,-795.32,IB
18,96352.81,3647.19,2024-04-10,3.65,-711.25,IB
19,96235.31,3764.69,2024-04-11,3.76,-117.5,REJ
20,96117.81,3882.19,2024-04-11,3.88,-117.5,REJ
21,96762.81,3237.19,2024-04-11,3.24,645.0,REJ
22,98445.31,1554.69,2024-04-15,1.55,1682.5,IB
23,97765.31,2234.69,2024-04-16,2.23,-680.0,IB
24,96985.7,3014.3,2024-04-17,3.01,-779.61,IB
25,97043.2,2956.8,2024-04-18,2.96,57.5,IB
26,96456.95,3543.05,2024-04-22,3.54,-586.25,IB
27,95951.95,4048.05,2024-04-23,4.05,-505.0,REJ
28,95834.45,4165.55,2024-04-23,4.17,-117.5,REJ
29,95904.45,4095.55,2024-04-23,4.1,70.0,REJ
30,96624.45,3375.55,2024-04-24,3.38,720.0,IB
31,97481.95,2518.05,2024-04-29,2.52,857.5,IB
