setup,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,stop,target,pnl_pts,pnl_dollar
IB,SHORT,2025-02-18 14:05:00-05:00,6121.75,2025-02-18 15:50:00-05:00,6136.0,stop,6136.0,6105.0,-14.25,-717.5
IB,SHORT,2025-02-26 13:15:00-05:00,5977.75,2025-02-26 15:55:00-05:00,5972.0,flatten,5995.93,5935.75,5.75,282.5
IB,SHORT,2025-02-27 14:30:00-05:00,5919.25,2025-02-27 15:55:00-05:00,5877.5,flatten,5937.26,5843.75,41.75,2082.5
IB,SHORT,2025-03-03 13:05:00-05:00,5922.75,2025-03-03 15:10:00-05:00,5856.5,target,5940.77,5856.5,66.25,3307.5
IB,SHORT,2025-03-05 11:10:00-05:00,5768.75,2025-03-05 11:55:00-05:00,5786.31,stop,5786.31,5722.25,-17.56,-882.85
IB,SHORT,2025-03-11 10:35:00-04:00,5562.0,2025-03-11 10:50:00-04:00,5578.94,stop,5578.94,5497.5,-16.94,-851.84
IB,SHORT,2025-03-13 11:25:00-04:00,5555.25,2025-03-13 15:55:00-04:00,5528.25,flatten,5572.17,5508.5,27.0,1345.0
IB,SHORT,2025-03-18 14:10:00-04:00,5658.25,2025-03-18 14:45:00-04:00,5675.48,stop,5675.48,5609.0,-17.23,-866.27
IB,SHORT,2025-03-25 14:45:00-04:00,5811.25,2025-03-25 15:40:00-04:00,5821.62,stop,5821.62,5792.75,-10.38,-523.75
IB,SHORT,2025-03-26 11:25:00-04:00,5794.5,2025-03-26 13:30:00-04:00,5757.25,target,5812.13,5757.25,37.25,1857.5
IB,SHORT,2025-04-03 10:45:00-04:00,5468.25,2025-04-03 11:25:00-04:00,5484.91,stop,5484.91,5403.5,-16.66,-837.77
IB,SHORT,2025-04-03 14:10:00-04:00,5467.25,2025-04-03 15:55:00-04:00,5436.0,flatten,5483.9,5402.5,31.25,1557.5
IB,SHORT,2025-04-08 11:05:00-04:00,5230.5,2025-04-08 12:35:00-04:00,5156.5,target,5246.44,5156.5,74.0,3695.0
IB,SHORT,2025-04-10 11:15:00-04:00,5308.5,2025-04-10 11:55:00-04:00,5235.5,target,5324.68,5235.5,73.0,3645.0
IB,SHORT,2025-04-14 11:25:00-04:00,5438.25,2025-04-14 14:20:00-04:00,5454.82,stop,5454.82,5386.25,-16.57,-833.27
IB,SHORT,2025-04-15 13:20:00-04:00,5432.25,2025-04-15 15:55:00-04:00,5427.75,flatten,5448.8,5380.5,4.5,220.0
